Index	Verb	Class number	Subclass	Example lemma	Stem	Regularity	Initial segment	Regular category	Affix	Translation	Transitivity
248	part͡sranal	20		part͡sra	niharnal	Regular	C	Inchoative	-nal	To rise, to get higher, to mount, to go up, to ascend.	Intransitive
249	part͡srat͡snel	10	Basic	part͡sra	modet͡snel	Regular	C	Causative	-t͡snel	To exalt, to raise up, to elevate.	Transitive
250	parwokel	2		parwok	kaɣel	Regular	C	E-Class	-el	To ameliorate, to better, to improve.	Transitive
251	parwokil	4	Basic	parwok	xosil	Regular	C	I-Class	-il		Intransitive
252	pat͡sagajil	4	Basic	pat͡sagaj	xosil	Regular	C	I-Class	-il		Intransitive
253	pat͡sagant͡ʃel	2		pat͡sagant͡ʃ	kaɣel	Regular	C	E-Class	-el		Intransitive
254	pat͡sajajdel	2		pat͡sajajd	kaɣel	Regular	C	E-Class	-el	To manifest, to explain, to declare.	Transitive
255	pat͡sasel	2		pat͡sas	kaɣel	Regular	C	E-Class	-el		Transitive
256	pat͡sadrel	2		pat͡sadr	kaɣel	Regular	C	E-Class	-el	To explain, to set forth, to express, to illustrate, to expound.	Transitive
257	pat͡svil	4	Passive	pat͡s	zzvil	Regular	C	Passive	-vil	To open, to be opened.	Intransitive
258	pawagananal	20		pawagana	niharnal	Regular	C	Inchoative	-nal	To be satisfied with, to suffice.	Intransitive
259	pawararel	2		pawarar	kaɣel	Regular	C	E-Class	-el		Transitive
260	pawel	2		paw	kaɣel	Regular	C	E-Class	-el	To be enough, to be sufficient.	Intransitive
261	pawet͡snel	10	Basic	pawe	modet͡snel	Regular	C	Causative	-t͡snel	To render sufficient.	Transitive
262	peganel	2		pegan	kaɣel	Regular	C	E-Class	-el	To break, to smash, to cut, to destroy.	Transitive
263	pegel	2		peg	kaɣel	Regular	C	E-Class	-el		Transitive
264	peɣmnaworel	2		peɣmnawor	kaɣel	Regular	C	E-Class	-el	To fecundate, to make fruitful.	Transitive
265	pematrel	2		pematr	kaɣel	Regular	C	E-Class	-el		Transitive
266	pernaworel	2		pernawor	kaɣel	Regular	C	E-Class	-el	To load, to freight, to lade, to charge, to burden.	Transitive
267	pert͡snel	10	Basic	per	modet͡snel	Regular	C	Causative	-t͡snel	To load, to freight, to lade, to charge, to burden.	Transitive
268	perel	38		per	perel	Irregular	C		-el	To bring, bring forward, to fetch.	Transitive
269	pergril	4	Basic	pergr	xosil	Regular	C	I-Class	-il	To rejoice, to be joyful, to be merry.	Intransitive
270	pewerel	2		pewer	kaɣel	Regular	C	E-Class	-el	To nail, to fix, to rivet.	Transitive
271	pzzal	6		pzz	gartal	Regular	C	A-Class	-al	To buzz, to hum.	Intransitive
272	pzkdel	2		pzkd	kaɣel	Regular	C	E-Class	-el	To tear to pieces, to tatter, to rend.	Transitive
273	ptanal	20		pta	niharnal	Regular	C	Inchoative	-nal	To get blunt, to become dull.	Intransitive
274	ptat͡snel	10	Basic	pta	modet͡snel	Regular	C	Causative	-t͡snel	To dull, to blunt, to obtund.	Transitive
275	pʒʃgel	2		pʒʃg	kaɣel	Regular	C	E-Class	-el	To heal, to cure, to remedy.	Transitive
276	pʒʃgvil	4	Passive	pʒʃg	zzvil	Regular	C	Passive	-vil	To be cured, to recover, to heal up.	Intransitive
277	piwreɣanal	20		piwreɣa	niharnal	Regular	C	Inchoative	-nal	To crystallize: to candy.	Intransitive
278	piwreɣat͡snel	10	Basic	piwreɣa	modet͡snel	Regular	C	Causative	-t͡snel	To crystallize.	Transitive
279	pxet͡snel	10	Basic	pxe	modet͡snel	Regular	C	Causative	-t͡snel		Transitive
280	pxil	4	Basic	px	xosil	Regular	C	I-Class	-il		Intransitive
281	pnaget͡snel	10	Basic	pnage	modet͡snel	Regular	C	Causative	-t͡snel	To lodge, to house, to make to inhabit.	Transitive
282	pnagil	4	Basic	pnag	xosil	Regular	C	I-Class	-il	To dwell in, to inhabit, to reside, to live, to stay, to lodge.	Intransitive
283	pnat͡ʃnt͡ʃel	2		pnat͡ʃnt͡ʃ	kaɣel	Regular	C	E-Class	-el		Transitive
284	pnoroʃel	2		pnoroʃ	kaɣel	Regular	C	E-Class	-el		Transitive
285	pnutakrel	2		pnutakr	kaɣel	Regular	C	E-Class	-el		Transitive
286	polorel	2		polor	kaɣel	Regular	C	E-Class	-el	To surround, to encompass, to environ.	Transitive
287	pohrel	2		pohr	kaɣel	Regular	C	E-Class	-el	To roast, to torrefy.	Transitive
288	poɣpot͡ʃil	4	Basic	poɣpot͡ʃ	xosil	Regular	C	I-Class	-il	To shoot, to sprout, to spring, to germinate.	Intransitive
289	poɣokel	2		poɣok	kaɣel	Regular	C	E-Class	-el	To protest, to complain, to object, to oppose.	Intransitive
290	povantagel	2		povantag	kaɣel	Regular	C	E-Class	-el	To include, to comprehend, to contain, to comprise, to enclose.	Transitive
292	porposil	4	Basic	porpos	xosil	Regular	C	I-Class	-il	To grow musty, mouldy.	Intransitive
293	porpokel	2		porpok	kaɣel	Regular	C	E-Class	-el	To kindle, to inflame, to incense, to provoke.	Transitive
291	porpokil	4	Basic	porpok	xosil	Regular	C	I-Class	-il		Intransitive
294	puʒel	2		puʒ	kaɣel	Regular	C	E-Class	-el	To cure, to heal.	Transitive
295	puʒvil	4	Passive	puʒ	zzvil	Regular	C	Passive	-vil		Intransitive
296	pusnil	14		pus	mernil	Irregular	C		-nil	To vegetate, to sprout, to spring up, to grow.	Intransitive
297	pust͡snel	10	Basic	pus	modet͡snel	Regular	C	Causative	-t͡snel	To vegetate, to produce, to shoot.	Transitive
298	purel	2		pur	kaɣel	Regular	C	E-Class	-el	To smell, to exhale, to scent.	Transitive
299	prel	2		pr	kaɣel	Regular	C	E-Class	-el	To whitewash, to plaster.	Transitive
300	prnaparel	2		prnapar	kaɣel	Regular	C	E-Class	-el	To force, to violate, to ravish, to constrain.	Transitive
301	prnakrawel	2		prnakraw	kaɣel	Regular	C	E-Class	-el		Transitive
302	prnatadel	2		prnatad	kaɣel	Regular	C	E-Class	-el	To force, to constrain, to violate, to ravish.	Transitive
303	prnanal	20		prna	niharnal	Regular	C	Inchoative	-nal	To tyrannize, to encroach, to invade.	Transitive
304	prnel	2		prn	kaɣel	Regular	C	E-Class	-el	To hold, to catch, to take, to grasp, to possess, to occupy, to attain.	Transitive
305	prnget͡snel	10	Basic	prnge	modet͡snel	Regular	C	Causative	-t͡snel		Transitive
306	prngil	4	Basic	prng	xosil	Regular	C	I-Class	-il	To take fire, to be inflamed.	Intransitive
307	prnvil	4	Passive	prn	zzvil	Regular	C	Passive	-vil	To be held, to be taken, to be arrested, to be caught.	Intransitive
308	prnt͡skaharel	2		prnt͡skahar	kaɣel	Regular	C	E-Class	-el		Transitive
309	prtel	2		prt	kaɣel	Regular	C	E-Class	-el	To crumble.	Transitive
310	prel	2		pr	kaɣel	Regular	C	E-Class	-el	To dig, to hoe.	Transitive
311	prdanal	20		prda	niharnal	Regular	C	Inchoative	-nal	To stiffen, to grow stiff, to become rude, gross or uncivil.	Intransitive
312	potel	2		pot	kaɣel	Regular	C	E-Class	-el	To announce distressing news.	Transitive
313	kazazil	4	Basic	kazaz	xosil	Regular	C	I-Class	-il		Intransitive
314	kal	34		k	kal	Suppletive	C		-al	To come along.	Intransitive
315	kalarel	2		kalar	kaɣel	Regular	C	E-Class	-el	To wrap, to roll, to wind, to twist, to crease.	Transitive
316	kahazrgel	2		kahazrg	kaɣel	Regular	C	E-Class	-el		Transitive
317	kahagalel	2		kahagal	kaɣel	Regular	C	E-Class	-el	To sit on a throne, to be enthroned.	Transitive
318	kahaviʒel	2		kahaviʒ	kaɣel	Regular	C	E-Class	-el	To precipitate, to throw, to hurl.	Transitive
319	kahaviʒil	4	Basic	kahaviʒ	xosil	Regular	C	I-Class	-il		Intransitive
320	kaɣtel	2		kaɣt	kaɣel	Regular	C	E-Class	-el	To emigrate, to take refuge, to retire.	Intransitive
321	kaɣt͡ʃanal	20		kaɣt͡ʃa	niharnal	Regular	C	Inchoative	-nal	To become lukewarm, tepid.	Intransitive
322	kaɣt͡ʃat͡snel	10	Basic	kaɣt͡ʃa	modet͡snel	Regular	C	Causative	-t͡snel	To make cool, lukewarm.	Transitive
323	kad͡ʒel	2		kad͡ʒ	kaɣel	Regular	C	E-Class	-el	To plaster, to patch up.	Transitive
324	kamel	2		kam	kaɣel	Regular	C	E-Class	-el	To nail.	Transitive
325	kamvil	4	Passive	kam	zzvil	Regular	C	Passive	-vil	To be nailed.	Intransitive
326	kajtagɣel	2		kajtagɣ	kaɣel	Regular	C	E-Class	-el		Intransitive
327	kajtagɣet͡snel	10	Basic	kajtagɣe	modet͡snel	Regular	C	Causative	-t͡snel	To scandalize.	Transitive
328	kajtagɣil	4	Basic	kajtagɣ	xosil	Regular	C	I-Class	-il	To be scandalized, to be offended.	Intransitive
329	kajtel	2		kajt	kaɣel	Regular	C	E-Class	-el	To slip over, to stumble, to slide.	Intransitive
330	kajtil	4	Basic	kajt	xosil	Regular	C	I-Class	-il		Intransitive
331	kanagod͡zel	2		kanagod͡z	kaɣel	Regular	C	E-Class	-el	To bastinado, to drub.	Transitive
332	kanaharel	2		kanahar	kaɣel	Regular	C	E-Class	-el		Transitive
333	kankadil	4	Basic	kankad	xosil	Regular	C	I-Class	-il	To complain, to grumble, to express distress.	Intransitive
334	kanel	2		kan	kaɣel	Regular	C	E-Class	-el	To cudgel, to bastinado; to scourge.	Transitive
335	kanil	4	Basic	kan	xosil	Regular	C	I-Class	-il		Intransitive
336	kant͡sel	2		kant͡s	kaɣel	Regular	C	E-Class	-el	To treasure up, to hoard, to collect.	Transitive
337	karʃil	4	Basic	karʃ	xosil	Regular	C	I-Class	-il	To detest, to abhor, to execrate.	Intransitive
338	kkvel	2		kku	kaɣel	Regular	C	E-Class	-el	To blandish, to fondle, to caress, to cherish.	Transitive
339	keɣakrel	2		keɣakr	kaɣel	Regular	C	E-Class	-el		Transitive
340	keɣazartel	2		keɣazart	kaɣel	Regular	C	E-Class	-el	To adorn, to set off, to trim, to deck.	Transitive
341	keɣkeɣel	2		keɣkeɣ	kaɣel	Regular	C	E-Class	-el	To hum, to trill, to quaver.	Transitive
342	keɣet͡sganal	20		keɣet͡sga	niharnal	Regular	C	Inchoative	-nal	To beautify, to grow beautiful, to become handsome, to improve in beauty.	Intransitive
343	keɣet͡sgat͡snel	10	Basic	keɣet͡sga	modet͡snel	Regular	C	Causative	-t͡snel	To embellish, to beautify, to adorn.	Transitive
344	keraknahadel	2		keraknahad	kaɣel	Regular	C	E-Class	-el		Transitive
345	keratasel	2		keratas	kaɣel	Regular	C	E-Class	-el	To elevate, to prefer, to raise, to put higher.	Transitive
346	kerazant͡sel	2		kerazant͡s	kaɣel	Regular	C	E-Class	-el	To surpass, to excel, to exceed.	Transitive
347	kerel	2		ker	kaɣel	Regular	C	E-Class	-el	To captivate, to enslave: to enthral.	Transitive
348	kerevarel	2		kerevar	kaɣel	Regular	C	E-Class	-el		Transitive
349	kerd͡zel	2		kerd͡z	kaɣel	Regular	C	E-Class	-el	To shape, to scrape, to shave off.	Transitive
350	kerpel	2		kerp	kaɣel	Regular	C	E-Class	-el	To plunder, to depredate.	Transitive
351	kzkzel	2		kzkz	kaɣel	Regular	C	E-Class	-el		Transitive
352	kzel	2		kz	kaɣel	Regular	C	E-Class	-el	To card, to comb (wool, flax, hemp).	Transitive
353	ktal	6		kt	gartal	Regular	C	A-Class	-al	To pity, to compassionate, to commiserate, to pardon.	Transitive
354	kʒdvil	4	Passive	kʒd	zzvil	Regular	C	Passive	-vil		Intransitive
355	kinovnal	20		kinov	niharnal	Regular	C	Inchoative	-nal	To get intoxicated, to be drunken.	Intransitive
356	kinovt͡snel	10	Basic	kinov	modet͡snel	Regular	C	Causative	-t͡snel	To inebriate, to fuddle.	Transitive
357	kiʃadel	2		kiʃad	kaɣel	Regular	C	E-Class	-el	To devour, to eat up, to tear.	Transitive
358	kiʃerel	2		kiʃer	kaɣel	Regular	C	E-Class	-el	To pass the night, to spend the night.	Transitive
359	kit͡ʃanal	20		kit͡ʃa	niharnal	Regular	C	Inchoative	-nal	To practise onanism or self-defilement.	Intransitive
360	kidagt͡sil	4	Basic	kidagt͡s	xosil	Regular	C	I-Class	-il		Intransitive
361	kidem	30		kid	kidem	Defective	C		-em		Transitive
362	kidnal	20		kid	niharnal	Regular	C	Inchoative	-nal	To know, to learn, to be aware of, to be sensible, to acknowledge, to understand.	Transitive
363	kirgəntxarnvil	4	Passive	kirgəntxarn	zzvil	Regular	C	Passive	-vil	To embrace one another, to kiss one another.	Intransitive
364	kirnal	20		kir	niharnal	Regular	C	Inchoative	-nal	To grow fat, to become corpulent.	Intransitive
365	klklal	6		klkl	gartal	Regular	C	A-Class	-al		Intransitive
366	klel	2		kl	kaɣel	Regular	C	E-Class	-el	To roll, to turn, to surpass, to excel.	Transitive
367	klxadel	2		klxad	kaɣel	Regular	C	E-Class	-el	To decollate, to behead, to decapitate.	Transitive
368	klxaworel	2		klxawor	kaɣel	Regular	C	E-Class	-el	To accomplish, to terminate, to achieve.	Transitive
369	klorel	2		klor	kaɣel	Regular	C	E-Class	-el	To roll, to roll up, to revolve, to turn over.	Transitive
370	klorvil	4	Passive	klor	zzvil	Regular	C	Passive	-vil		Intransitive
371	kldorel	2		kldor	kaɣel	Regular	C	E-Class	-el		Transitive
372	kd͡zakrel	2		kd͡zakr	kaɣel	Regular	C	E-Class	-el	To draw, to sketch, to delineate.	Transitive
373	kd͡zel	2		kd͡z	kaɣel	Regular	C	E-Class	-el	To cross out, to rule, to regulate, to draw.	Transitive
374	kd͡ʒel	2		kd͡ʒ	kaɣel	Regular	C	E-Class	-el		Transitive
375	kd͡ʒil	4	Basic	kd͡ʒ	xosil	Regular	C	I-Class	-il	To kneel down, to bow down, to sit squat.	Intransitive
376	knahadel	2		knahad	kaɣel	Regular	C	E-Class	-el	To estimate, to value, to rate.	Transitive
377	kntagaharel	2		kntagahar	kaɣel	Regular	C	E-Class	-el		Transitive
378	knel	2		kn	kaɣel	Regular	C	E-Class	-el	To buy, to purchase.	Transitive
379	kolanal	20		kola	niharnal	Regular	C	Inchoative	-nal		Intransitive
380	kolorʃianal	20		kolorʃia	niharnal	Regular	C	Inchoative	-nal		Intransitive
381	kolorʃiat͡snel	10	Basic	kolorʃia	modet͡snel	Regular	C	Causative	-t͡snel		Transitive
382	kohapanel	2		kohapan	kaɣel	Regular	C	E-Class	-el	To offer thanks, to praise.	Transitive
383	kohanal	20		koha	niharnal	Regular	C	Inchoative	-nal	To thank, to render grace.	Transitive
384	koɣnal	20		koɣ	niharnal	Regular	C	Inchoative	-nal	To steal, to rob, to plunder, to pilfer.	Transitive
385	kojanal	20		koja	niharnal	Regular	C	Inchoative	-nal	To exist.	Intransitive
386	kojat͡snel	10	Basic	koja	modet͡snel	Regular	C	Causative	-t͡snel	To yield, to produce, to bring to.	Transitive
387	kot͡ʃel	2		kot͡ʃ	kaɣel	Regular	C	E-Class	-el	To cry, to shout, to scream, to call out, to roar.	Intransitive
388	koral	6		kor	gartal	Regular	C	A-Class	-al	To growl, to roar, to grumble, to rumble; to insult.	Intransitive
389	korkoral	6		korkor	gartal	Regular	C	A-Class	-al		Intransitive
390	korozanal	20		koroza	niharnal	Regular	C	Inchoative	-nal	To be proud of, to be puffed up.	Intransitive
391	kovapanel	2		kovapan	kaɣel	Regular	C	E-Class	-el	To praise, to extol, to eulogize.	Transitive
392	kovel	2		kov	kaɣel	Regular	C	E-Class	-el	To praise, to laud, to glorify, to exalt, to magnify.	Transitive
393	kord͡zatrel	2		kord͡zatr	kaɣel	Regular	C	E-Class	-el	To execute, to perform, to do, to fulfill.	Transitive
394	kord͡zad͡zel	2		kord͡zad͡z	kaɣel	Regular	C	E-Class	-el	To use, to consume, to employ, to use up.	Transitive
395	kord͡zagt͡sil	4	Basic	kord͡zagt͡s	xosil	Regular	C	I-Class	-il	To cowork, to cooperate, to work together.	Transitive
396	kord͡zel	2		kord͡z	kaɣel	Regular	C	E-Class	-el	To work, to act, to operate, to labour, to exert, to fabricate, to effect, to perform.	Transitive
397	kot͡sel	2		kot͡s	kaɣel	Regular	C	E-Class	-el	To shut, to close, to enclose, to lock.	Transitive
398	kot͡svil	4	Passive	kot͡s	zzvil	Regular	C	Passive	-vil	To be shut, to be closed, enclosed.	Intransitive
399	kuʒel	2		kuʒ	kaɣel	Regular	C	E-Class	-el	To give sad news.	Transitive
400	kumarel	2		kumar	kaɣel	Regular	C	E-Class	-el	To add, to assemble, to sum, to convoke.	Transitive
401	kunadil	4	Basic	kunad	xosil	Regular	C	I-Class	-il	To fade, to lose colour.	Intransitive
402	kuʃagel	2		kuʃag	kaɣel	Regular	C	E-Class	-el	To foretell, to guess at, to predict.	Transitive
403	kurkural	6		kurkur	gartal	Regular	C	A-Class	-al	To fondle, to caress, to cocker.	Transitive
404	krkral	6		krkr	gartal	Regular	C	A-Class	-al	To croak, to clock.	Intransitive
405	kdnal	24	Theme -a-	kd	kdnal	Irregular	C		-nal	To find, to discover, to detect, to find out.	Transitive
406	kdnel	24	Theme -e-	kd	kdnel	Irregular	C		-nel	To find, to discover, to detect, to find out.	Transitive
407	kdnvil	4	Passive	kdn	zzvil	Regular	C	Passive	-vil	To be found.	Intransitive
408	krant͡sel	2		krant͡s	kaɣel	Regular	C	E-Class	-el		Transitive
409	krawakrel	2		krawakr	kaɣel	Regular	C	E-Class	-el		Transitive
410	krawel	2		kraw	kaɣel	Regular	C	E-Class	-el	To occupy, to appropriate, to invade, to confiscate.	Intransitive
411	kraknnel	2		kraknn	kaɣel	Regular	C	E-Class	-el	To censure.	Transitive
412	krkrel	2		krkr	kaɣel	Regular	C	E-Class	-el	To excite, to irritate, to incite, to provoke, to stimulate, to rouse.	Transitive
413	krel	2		kr	kaɣel	Regular	C	E-Class	-el	To write.	Transitive
414	krgaxarnvil	4	Passive	krgaxarn	zzvil	Regular	C	Passive	-vil		Intransitive
415	krgel	2		krg	kaɣel	Regular	C	E-Class	-el	To embrace, to clasp, to embosom; to kiss.	Transitive
416	krohel	2		kroh	kaɣel	Regular	C	E-Class	-el		Intransitive
417	krbanel	2		krban	kaɣel	Regular	C	E-Class	-el		Transitive
418	kosanal	20		kosa	niharnal	Regular	C	Inchoative	-nal	To dry up, to desiccate.	Intransitive
419	kosat͡snel	10	Basic	kosa	modet͡snel	Regular	C	Causative	-t͡snel	To dry, to desiccate, to wither.	Transitive
420	kodemardil	4	Basic	kodemard	xosil	Regular	C	I-Class	-il	To wrestle.	Intransitive
421	kodebntel	2		kodebnt	kaɣel	Regular	C	E-Class	-el	To girdle, to surround, to girt.	Transitive
422	kodeworel	2		kodewor	kaɣel	Regular	C	E-Class	-el	To gird on, to girdle, to surround, to bind.	Transitive
423	kodeworvil	4	Passive	kodewor	zzvil	Regular	C	Passive	-vil		Intransitive
424	tatret͡snel	10	Basic	tatre	modet͡snel	Regular	C	Causative	-t͡snel	To cease, to stop, to leave off, to intermit, to suspend.	Transitive
425	tatril	4	Basic	tatr	xosil	Regular	C	I-Class	-il	To discontinue, to stop, to cease.	Intransitive
426	tagel	2		tag	kaɣel	Regular	C	E-Class	-el		Transitive
427	tajlajlel	2		tajlajl	kaɣel	Regular	C	E-Class	-el	To warble, to sing in a trilling manner.	Transitive
428	tanagaharel	2		tanagahar	kaɣel	Regular	C	E-Class	-el		Transitive
429	tantaɣil	4	Basic	tantaɣ	xosil	Regular	C	I-Class	-il	To loiter, to delay.	Intransitive
430	tantat͡ʃel	2		tantat͡ʃ	kaɣel	Regular	C	E-Class	-el	To ramble, to stray, to wander, to digress, to grope.	Intransitive
431	taʃnagt͡sil	4	Basic	taʃnagt͡s	xosil	Regular	C	I-Class	-il	To unite, to league, to be allied, to enter into a confederacy.	Intransitive
432	taʃnaworel	2		taʃnawor	kaɣel	Regular	C	E-Class	-el	To harmonize.	Transitive
433	taʃunel	2		taʃun	kaɣel	Regular	C	E-Class	-el	To stab with a poniard, to dagger.	Transitive
434	tarnal	40		tarn	tarnal	Suppletive	C		-al	To turn, to return, to come back, to go back, to come again.	Intransitive
435	tarnanal	20		tarna	niharnal	Regular	C	Inchoative	-nal	To turn sour, to grow worse.	Intransitive
436	tarnat͡snel	10	Basic	tarna	modet͡snel	Regular	C	Causative	-t͡snel	To embitter, to make bitter, sour or sharp.	Transitive
437	tasaxosel	2		tasaxos	kaɣel	Regular	C	E-Class	-el	To lecture on, to profess, to teach, to practise.	Transitive
438	tasagarkel	2		tasagark	kaɣel	Regular	C	E-Class	-el	To classify, to class, to systematize.	Transitive
439	tasawantel	2		tasawant	kaɣel	Regular	C	E-Class	-el	To teach, to give lessons.	Transitive
440	tasaworel	2		tasawor	kaɣel	Regular	C	E-Class	-el	To class, to arrange, to put in order.	Transitive
441	tasel	2		tas	kaɣel	Regular	C	E-Class	-el	To class, to classify; to sort, to order.	Transitive
442	tasdiaragel	2		tasdiarag	kaɣel	Regular	C	E-Class	-el	To educate, to instruct, to teach.	Transitive
443	tadabardel	2		tadabard	kaɣel	Regular	C	E-Class	-el	To sentence, to condemn, to damn.	Transitive
444	tadabardvil	4	Passive	tadabard	zzvil	Regular	C	Passive	-vil	To be condemned, to be under sentence.	Intransitive
445	tadargel	2		tadarg	kaɣel	Regular	C	E-Class	-el	To evacuate, to empty, to hollow out; to drain.	Transitive
446	tadapedel	2		tadaped	kaɣel	Regular	C	E-Class	-el	To maltreat, to cavil, to pursue, to offend in words.	Transitive
447	tadel	2		tad	kaɣel	Regular	C	E-Class	-el	To judge, to bring to trial, to sentence, to discern, to esteem.	Transitive
448	taranil	4	Basic	taran	xosil	Regular	C	I-Class	-il	To lie in wait, in ambuscade; to suborn, to circumvent.	Intransitive
449	tarpnel	2		tarpn	kaɣel	Regular	C	E-Class	-el	To forge, to hammer.	Transitive
450	tart͡snel	10	Orthographic variant with affricate	tar	tart͡snel	Regular	C	Causative	-t͡snel	To turn, to return, to call back.	Transitive
451	tarmanel	2		tarman	kaɣel	Regular	C	E-Class	-el	To remedy, to restore, to repair.	Transitive
452	tarmanvil	4	Passive	tarman	zzvil	Regular	C	Passive	-vil	To take care of oneself, to be treated.	Intransitive
453	tarovel	2		tarov	kaɣel	Regular	C	E-Class	-el		Transitive
454	tawatrel	2		tawatr	kaɣel	Regular	C	E-Class	-el	To plot, to intrigue, to cabal.	Transitive
455	tawad͡ʒanel	2		tawad͡ʒan	kaɣel	Regular	C	E-Class	-el	To betray, to cabal, to deceive.	Transitive
